Cote,Titre,Auteur,Editeur,Lieu,Annee,Nb pages,Matière,Inventaire
02/02,مقدمة إلى نظم المكتبة المبنية على الحاسوب,"أ. تيد, لوسي",المنظمة العربية للعلوم الإدارية,عمان,1985.0,465,علم المكتبات,FSR_17847
3/43,عندما يحترم الصراع دليل عملي لاستخدام الوساطة في حل النزاعات.,أ. سليكيو كارل.,الدار الدولية للنشر والتوزيع.,القاهرة.,1999.0,348,العلوم الاجتماعية.,FSR_29267
32/83,التحليل السياسي الحديث,"أ.د, آل روبرت",مركز الأهرام للترجمة والنشر,القاهرة,1993.0,204,العلوم السياسية,FSR_28505
330.114/01,جدل حول التقدم,"أباظة, ابراهيم دسوقي",دار الكتاب,البيضاء,1975.0,30,الاقتصاد السياسي,FSR_11531
297.911/06,الإقتصاد الإسلامي : مقوماته ومناهجه,"أباظه, إبراهيم دسوقي",مؤسسة دار الشعب للصحافة,القاهرة,1973.0,159,الإسلام والعلوم الإقتصادية,FSR_587
297.911/06 مكرر,الإقتصاد الإسلامي : مقوماته ومنهاجه,"أباظه, إبراهيم دسوقي",مؤسسة دار الشعب للصحافة,القاهرة,1973.0,159,الإسلام والعلوم الإقتصادية,FSR_10677
611/01,علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",دار المعرفة,بغداد,1980.0,443,علم التشريح,FSR_6108
611/01 مكرر,علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",دار المعرفة,بغداد,1980.0,443,علم التشريح,FSR_6109
93:297/28,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج1,"إبراهيم حسن, حسن",مكتبة النهضة المصرية,القاهرة,1964.0,581,التاريخ الاسلامي,FSR_511
93:297/29,تاريخ الاسلام السياسي والديني والثقافي والإجتماعي. ج2,"إبراهيم حسن, حسن",مكتبة النهضة المصرية,القاهرة,1964.0,506,التاريخ الاسلامي,FSR_512
93:297/30,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج3,"إبراهيم حسن, حسن",مكتبة النهضة المصرية,القاهرة,1964.0,500,التاريخ الاسلامي,FSR_513
159.9/34 مكرر,سيكلوجية المرأة العاملة,"إبراهيم عبد الفتاح, كاميليا",دار النهضة العربية,بيروت,1984.0,325,علم النفس,FSR_23462
801.56/74,التأنيث في اللغة العربية,"إبراهيم, بركات إبراهيم",دار الوفاء للطباعة والنشر والتوزيع,القاهرة,1988.0,357,النحو العربي,FSR_23330
92/87 مكرر,المغاربة والبحر,"إبراهيم, حركات",المملكة المغربية,معرض لشبونة,1998.0,32,تاريخ المغرب,FSR_27965
964/202 مكرر,المغاربة والبحر,"إبراهيم, حركات",المملكة المغربية,معرض لشبونة,1998.0,32,تاريخ المغرب,FSR_27966
93:297/31,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. الجزء الرابع,"إبراهيم, حسن حسن",مكتبة النهضة المصرية,القاهرة,1964.0,702,التاريخ الاسلامي,FSR_514
101.9/09,هيجل أو المثالية المطلقة. الجزء الأول,"إبراهيم, زكريا",مكتبة مصر,القاهرة,1970.0,477,شخصيات فلسفية : هيجل,FSR_10669
140/01,"مشكلة البنية أو أضواء على ""البنيوية""","إبراهيم, زكريا",مكتبة مصر,مصر,1976.0,264,فلسفة: البنيوية,FSR_7849
18.01/06,فلسفة الفن في الفكر المعاصر,"إبراهيم, زكريا",مكتبة مصر,القاهرة,1966.0,420,فلسفة الجمال,FSR_10008
82-31_533/01,القصة اليمنية المعاصرة (1939 -1976),"إبراهيم, عبد الحميد",دار العودة,بيروت,1977.0,415,الرواية,FSR_6828
159.97/11,"العلاج النفسي الحديث, قوة للإنسان","إبراهيم, عبد الستار",مكتبة مدبولي,القاهرة,1983.0,207,علم النفس المرضي,FSR_13616
801.56/08,النحو الوظيفي,"إبراهيم, عبد العليم",دار المعارف,القاهرة,1978.0,443,النحو العربي,FSR_5559
371/29,المناهج: أسسها وتنظيماتها وتقويم أثرها,"إبراهيم, عبد اللطيف فؤاد",مكتبة مصر,القاهرة,1980.0,654,مناهج وطرق التدريس,FSR_9458
297.95/18,الإسلام في آفاق سنة ألفين,"إبراهيم, عبد الله",مكتبة النجاح الجديدة,الدار البيضاء,1979.0,109,الإسلام والقضايا العالمية المعاصرة,FSR_11542
297.418/02,عناصر الإسلام وطرق هديه,"إبراهيم, معوض عوض",دار القلم,بيروت,1977.0,261,الوعظ والإرشاد,FSR_4769
312.82/01,المدينة ومشاكل الإسكان,"أبرمز, تشارلز",دار الآفاق الجديدة,بيروت,1964.0,230,علم السكان,FSR_7934
61:92_927/01 ج1و2,عيون الأنبياء في طبقات الأطباء,أبن أبي أصيبعة,دار الثقافة,بيروت,1981.0,371,طب بيوغرافيا,FSR_22489
93_468.1/04 ج2,تاريخ العلماء والرواة للعلم بالأندلس,"أبن الفرضي, أبو الوليد عبد الله بن محمد",مكتبة الخانجي,القاهرة,1988.0,268,تاريخ الأندلس,FSR_23028
78_64/05,التراث العربي المغربي في الموسيقى,"إبن جلون, التومي إدريس",مطبعة الرايس,الدار البيضاء,1979.0,367,الموسيقى بالمغرب,FSR_10253
297.484/02 ج1,الزواجر عن اقتراف الكبائر,"أبن حجر الهيثمي, أبو العباس أحمد بن محمد",دار الكتاب العالمي,بيروت,1987.0,446,الكبائر,FSR_20185
