Cote,Titre,Auteur,Editeur,Lieu,Annee,Nb pages,Matière,Inventaire
001_951_/02,La science chinoise et l'occident,NEEDHAM Joseph,Seuil,Paris,1979,252,Science et connaissances en général,FSR_11225
001.18/01,Pour une prospective de la science : recherche et technologie : les jeux de l'avenir,PAPON Pierre,Seghers,Paris,1983,383,Avenir de la science,FSR_11828
001.18/02,Traité élémentaire de prévision et de prospective,DECOUFLE André-Clément,Puf,Paris,1978,432,Avenir de la science . Anticipation,FSR_14366
001.2/01,Les scientifiques parlent.,JACQUARD Albert,Hachette,Paris,1987,326,rapport des sciences les unes avec les,FSR_18176
001.5/01,Théorie générale des systèmes = général system theory,BERTALANFFY Ludwig,Bordas,Paris,1973,298,Théories hypothèses et systèmes scientifiques,FSR_15544
001.8/01,Recherches et technologie,  ,La Documentation française,Paris,1982,222,"Méthodologie générale, méthodes scientifique",FSR_10263
001.8/02,Principes méthodologiques pour l'évaluation sociale de la technologie,  ,Ocde,Paris,1975,176,Méthodes scientifiques et techniques,FSR_8613
001/01,Penser la technique : pour une démocratie concrète,ROQUEPLO Philippe,Seuil,Paris,1983,242,Science et connaissances en général,FSR_11002
001/02,L'idéologie de / dans la science,  ,Seuil,Paris,1977,264,Science et connaissances en général,FSR_13120
001/03,Les savoirs ventriloques : ou comment la culture parle à travers la science,THUILLIER Pierre,Seuil,Paris,1983,180,Science et connaissances en général,FSR_11753
001/06,Pour une politique scientifique,PIGANIOL Pierre. VILLECOURT Louis,Flammarion,Paris,1983,302,Science et connaissances en général,FSR_13848
001/08,Janus : esquisse d'un système,KOESTLER Arthur,C. Lévy,Paris,1979,352,la pathologie de l'esprit humain,FSR_14441
001/09,Le cri d'Archimède : l'art de la découverte et la découverte de l'art,KOESTLER Arthur,C. Lévy,Paris,1965,448,science et connaissances général,FSR_14225
001/10,La science et la diversité des cultures,BERQUE Jacques. BOUHDIBA Abdelwahab. PEPPER CLARK Johusen,Puf,Paris,1974,324,sciences et connaissances en général,FSR_4072
001/11,Sciences et symboles : les voies de la connaissance,  ,A. Michel,Paris,1986,456,Science et connaissances en général,FSR_16321
001/12,"Al-Biruni: his times, life and works",SAID Hakim. ZAHID A,Hamdard,Karachi,1981,240,Science et connaissance en général,FSR_12796
001/13,L'invention intellectuelle,SCHLANGER Judith,Fayard,Paris,1983,277,Science et connaissances en général,FSR_11810
